customer_id,acquisition_date,segment,age,city,is_active
CUST_0001,2024-06-22,Medium Value,42,Los Angeles,True
CUST_0002,2022-02-20,Medium Value,53,New York,True
CUST_0003,2023-08-27,High Value,53,Phoenix,True
CUST_0004,2024-11-17,High Value,44,Houston,True
CUST_0005,2022-03-13,Low Value,29,Houston,True
CUST_0006,2022-08-12,Medium Value,29,Chicago,True
CUST_0007,2022-04-14,Medium Value,22,Los Angeles,True
CUST_0008,2022-05-17,Medium Value,38,Dallas,True
CUST_0009,2023-04-07,Medium Value,35,Los Angeles,True
CUST_0010,2022-01-15,Low Value,18,San Jose,True
CUST_0011,2022-02-26,Low Value,27,San Antonio,True
CUST_0012,2022-06-24,Low Value,31,New York,True
CUST_0013,2022-07-25,High Value,44,New York,True
CUST_0014,2022-08-09,Medium Value,20,Los Angeles,True
CUST_0015,2022-03-03,Low Value,43,Houston,True
CUST_0016,2022-03-07,High Value,37,Houston,True
CUST_0017,2022-04-29,High Value,18,Dallas,True
CUST_0018,2022-05-13,Low Value,26,San Jose,True
CUST_0019,2022-08-23,Medium Value,38,New York,True
CUST_0020,2024-12-31,High Value,30,Dallas,True
CUST_0021,2022-03-08,Low Value,47,Houston,True
CUST_0022,2022-01-24,Low Value,46,Dallas,True
CUST_0023,2022-02-06,Medium Value,38,San Antonio,True
CUST_0024,2022-01-20,Medium Value,46,Houston,True
CUST_0025,2022-04-28,Medium Value,44,San Diego,True
CUST_0026,2022-07-11,One-time Buyers,51,San Jose,True
CUST_0027,2023-01-10,High Value,39,Phoenix,True
CUST_0028,2022-07-24,Low Value,53,New York,True
CUST_0029,2022-06-17,Low Value,36,Chicago,True
CUST_0030,2022-08-02,Medium Value,31,San Antonio,True
CUST_0031,2022-03-28,One-time Buyers,52,Philadelphia,True
CUST_0032,2022-01-25,Medium Value,28,Phoenix,True
CUST_0033,2022-02-22,Medium Value,45,Chicago,True
CUST_0034,2022-03-03,Low Value,38,Houston,True
CUST_0035,2022-08-21,One-time Buyers,26,Philadelphia,True
CUST_0036,2022-06-17,Medium Value,31,Los Angeles,True
CUST_0037,2023-08-15,Low Value,35,Los Angeles,True
CUST_0038,2022-03-17,Medium Value,32,San Antonio,True
CUST_0039,2022-05-04,High Value,33,Los Angeles,True
CUST_0040,2022-12-31,Low Value,39,Philadelphia,True
CUST_0041,2024-12-06,Medium Value,18,Philadelphia,True
CUST_0042,2022-01-12,Medium Value,34,San Jose,True
CUST_0043,2022-07-29,Low Value,32,Phoenix,True
CUST_0044,2022-07-21,High Value,38,New York,True
CUST_0045,2022-03-25,One-time Buyers,48,San Diego,True
CUST_0046,2023-01-26,Medium Value,44,Dallas,True
CUST_0047,2022-10-28,Medium Value,42,Los Angeles,True
CUST_0048,2023-06-26,High Value,61,San Antonio,True
CUST_0049,2022-03-03,Medium Value,36,Los Angeles,True
CUST_0050,2022-01-06,Low Value,28,Dallas,True
CUST_0051,2022-03-19,Low Value,22,Phoenix,True
CUST_0052,2022-05-27,Low Value,40,San Jose,True
CUST_0053,2022-02-14,One-time Buyers,25,Philadelphia,True
CUST_0054,2023-09-22,One-time Buyers,31,San Jose,True
CUST_0055,2022-11-20,Medium Value,37,Houston,True
CUST_0056,2022-03-25,Low Value,50,Los Angeles,True
CUST_0057,2023-11-14,High Value,38,New York,True
CUST_0058,2022-05-09,Medium Value,44,Houston,True
CUST_0059,2023-11-14,Low Value,38,Phoenix,True
CUST_0060,2022-01-27,Low Value,39,Los Angeles,True
CUST_0061,2023-11-18,Medium Value,38,Houston,True
CUST_0062,2022-02-22,High Value,26,Los Angeles,True
CUST_0063,2022-12-20,Low Value,20,San Antonio,True
CUST_0064,2022-03-23,Low Value,42,Phoenix,True
CUST_0065,2023-02-16,Medium Value,46,San Diego,True
CUST_0066,2022-09-10,Low Value,39,Philadelphia,True
CUST_0067,2022-05-18,High Value,24,Chicago,True
CUST_0068,2022-05-30,One-time Buyers,25,Philadelphia,True
CUST_0069,2022-10-27,One-time Buyers,35,Philadelphia,True
CUST_0070,2022-07-23,Low Value,52,Houston,True
CUST_0071,2023-01-20,Medium Value,22,Phoenix,True
CUST_0072,2024-07-12,One-time Buyers,40,Los Angeles,True
CUST_0073,2022-05-19,One-time Buyers,40,San Jose,True
CUST_0074,2023-07-30,One-time Buyers,34,Chicago,True
CUST_0075,2022-05-26,Medium Value,29,Dallas,True
CUST_0076,2022-09-02,Medium Value,45,Houston,True
CUST_0077,2022-12-24,One-time Buyers,24,Chicago,True
CUST_0078,2024-12-31,Low Value,36,San Diego,True
CUST_0079,2022-08-08,High Value,39,San Antonio,True
CUST_0080,2022-12-30,Low Value,41,Phoenix,True
CUST_0081,2022-04-15,Medium Value,41,Dallas,True
CUST_0082,2024-01-04,One-time Buyers,41,Houston,True
CUST_0083,2022-07-28,Low Value,41,Philadelphia,True
CUST_0084,2023-04-22,Low Value,48,New York,True
CUST_0085,2022-05-04,One-time Buyers,25,Houston,True
CUST_0086,2022-01-11,Low Value,32,New York,True
CUST_0087,2022-08-23,Medium Value,43,Philadelphia,True
CUST_0088,2022-01-12,High Value,18,San Antonio,True
CUST_0089,2022-05-14,Low Value,35,Phoenix,True
CUST_0090,2022-03-14,Low Value,22,Los Angeles,True
CUST_0091,2022-01-27,Low Value,35,Houston,True
CUST_0092,2022-11-01,Low Value,27,San Jose,True
CUST_0093,2024-12-31,Low Value,18,Philadelphia,True
CUST_0094,2022-04-05,Low Value,37,Houston,True
CUST_0095,2022-01-25,Medium Value,41,San Diego,True
CUST_0096,2022-02-27,Medium Value,45,San Antonio,True
CUST_0097,2022-03-28,Medium Value,56,San Diego,True
CUST_0098,2022-04-09,Low Value,39,Chicago,True
CUST_0099,2023-02-06,One-time Buyers,60,Phoenix,True
CUST_0100,2022-03-27,Medium Value,47,Chicago,True
CUST_0101,2023-03-02,Medium Value,40,Houston,True
CUST_0102,2022-01-31,Medium Value,44,Dallas,True
CUST_0103,2022-07-12,Medium Value,31,Dallas,True
CUST_0104,2022-10-15,Medium Value,20,Phoenix,True
CUST_0105,2022-01-14,Low Value,52,San Jose,True
CUST_0106,2023-08-06,Low Value,18,San Antonio,True
CUST_0107,2022-02-23,Low Value,37,San Jose,True
CUST_0108,2022-09-22,High Value,27,San Antonio,True
CUST_0109,2022-09-15,One-time Buyers,54,Philadelphia,True
CUST_0110,2022-08-25,Medium Value,20,Houston,True
CUST_0111,2022-05-27,One-time Buyers,38,Chicago,True
CUST_0112,2022-04-26,High Value,27,Dallas,True
CUST_0113,2022-01-08,Low Value,27,San Diego,True
CUST_0114,2022-12-24,High Value,45,Los Angeles,True
CUST_0115,2023-09-22,Low Value,44,New York,True
CUST_0116,2022-02-28,Medium Value,42,Los Angeles,True
CUST_0117,2023-05-09,Low Value,34,Chicago,True
CUST_0118,2023-03-26,Medium Value,36,Chicago,True
CUST_0119,2024-03-12,Medium Value,32,San Antonio,True
CUST_0120,2023-02-26,Low Value,48,San Jose,True
CUST_0121,2023-11-30,High Value,50,Los Angeles,True
CUST_0122,2023-11-09,Medium Value,35,San Antonio,True
CUST_0123,2022-01-04,Medium Value,38,San Antonio,True
CUST_0124,2022-09-13,One-time Buyers,33,San Jose,True
CUST_0125,2022-06-28,Low Value,22,San Diego,True
CUST_0126,2023-02-23,Low Value,20,Dallas,True
CUST_0127,2023-04-13,Low Value,34,Phoenix,True
CUST_0128,2022-08-28,High Value,24,Dallas,True
CUST_0129,2023-10-18,Medium Value,25,New York,True
CUST_0130,2023-03-07,High Value,31,Los Angeles,True
CUST_0131,2022-02-01,Low Value,37,Dallas,True
CUST_0132,2023-06-02,High Value,28,Phoenix,True
CUST_0133,2022-01-26,Low Value,18,Philadelphia,True
CUST_0134,2024-06-01,Low Value,18,Los Angeles,True
CUST_0135,2023-02-24,One-time Buyers,26,Phoenix,True
CUST_0136,2022-09-03,Low Value,32,San Antonio,True
CUST_0137,2023-12-12,Medium Value,34,Chicago,True
CUST_0138,2022-07-09,High Value,22,San Diego,True
CUST_0139,2022-02-07,High Value,38,New York,True
CUST_0140,2022-09-20,Low Value,25,Phoenix,True
CUST_0141,2022-05-21,One-time Buyers,43,Dallas,True
CUST_0142,2024-09-17,Medium Value,30,Chicago,True
CUST_0143,2024-11-16,High Value,37,Dallas,True
CUST_0144,2022-08-31,High Value,35,Los Angeles,True
CUST_0145,2022-08-11,One-time Buyers,52,Phoenix,True
CUST_0146,2022-10-24,Medium Value,46,Dallas,True
CUST_0147,2023-11-26,Low Value,61,San Jose,True
CUST_0148,2022-03-04,Medium Value,25,Houston,True
CUST_0149,2022-05-11,Medium Value,25,Chicago,True
CUST_0150,2024-12-31,One-time Buyers,36,Philadelphia,True
CUST_0151,2022-08-19,Low Value,46,Chicago,True
CUST_0152,2022-02-23,Low Value,28,Dallas,True
CUST_0153,2023-06-03,One-time Buyers,19,Dallas,True
CUST_0154,2023-08-27,One-time Buyers,56,New York,True
CUST_0155,2022-01-09,High Value,49,San Jose,True
CUST_0156,2022-02-18,One-time Buyers,29,Philadelphia,True
CUST_0157,2022-05-24,Low Value,33,San Diego,True
CUST_0158,2022-04-06,Medium Value,49,New York,True
CUST_0159,2023-08-24,High Value,35,Los Angeles,True
CUST_0160,2024-05-18,Low Value,35,Philadelphia,True
CUST_0161,2022-03-27,Low Value,22,Phoenix,True
CUST_0162,2022-10-07,One-time Buyers,33,Houston,True
CUST_0163,2022-12-01,Medium Value,18,New York,True
CUST_0164,2022-12-01,High Value,50,Houston,True
CUST_0165,2023-03-20,Low Value,49,San Jose,True
CUST_0166,2022-09-04,Low Value,35,Los Angeles,True
CUST_0167,2022-06-04,One-time Buyers,42,Los Angeles,True
CUST_0168,2022-03-13,Low Value,51,San Diego,True
CUST_0169,2022-01-05,High Value,47,Los Angeles,True
CUST_0170,2022-06-22,Medium Value,18,Dallas,True
CUST_0171,2022-05-09,One-time Buyers,53,Chicago,True
CUST_0172,2022-10-19,Medium Value,35,Chicago,True
CUST_0173,2024-06-14,One-time Buyers,18,San Diego,True
CUST_0174,2024-12-31,Medium Value,34,Dallas,True
CUST_0175,2022-04-30,Medium Value,19,Chicago,True
CUST_0176,2022-02-11,High Value,43,Phoenix,True
CUST_0177,2022-02-19,High Value,39,Dallas,True
CUST_0178,2022-05-08,Medium Value,23,San Jose,True
CUST_0179,2022-07-12,One-time Buyers,23,San Antonio,True
CUST_0180,2022-01-13,Medium Value,41,Houston,True
CUST_0181,2022-04-08,Medium Value,33,Dallas,True
CUST_0182,2022-05-16,Medium Value,22,Houston,True
CUST_0183,2022-12-18,Low Value,26,Phoenix,True
CUST_0184,2024-02-01,One-time Buyers,37,San Antonio,True
CUST_0185,2022-04-08,High Value,42,Philadelphia,True
CUST_0186,2022-03-12,Medium Value,44,San Diego,True
CUST_0187,2022-07-18,Medium Value,18,Dallas,True
CUST_0188,2023-02-17,Medium Value,51,San Diego,True
CUST_0189,2022-03-29,High Value,41,Los Angeles,True
CUST_0190,2022-08-16,Low Value,38,Houston,True
